License Year, Hunting District,Residency,Hunters,Days,Days per Hunter,Total Harvest,Bulls,Cows,Calves,Bow,Rifle,Spike Bull Elk,Less than 6 Points,6 or More Points
2015,240,SUM,1365,9639,7,150,60,88,3,18,130,0,42,17
2015,250,N,0,0,0,0,0,0,0,0,0,0,0,0
2015,250,R,113,1125,10,26,20,6,0,5,21,2,6,12
2015,250,SUM,113,1125,10,26,20,6,0,5,21,2,6,12
2015,260,N,6,74,13,0,0,0,0,0,0,0,0,0
2015,260,R,182,1415,8,25,8,13,3,11,13,0,6,3
2015,260,SUM,188,1489,8,25,8,13,3,11,13,0,6,3
2015,261,N,36,285,8,3,3,0,0,0,3,0,3,0
2015,261,R,630,4629,7,99,63,32,3,14,84,3,38,23
2015,261,SUM,666,4914,7,102,66,32,3,14,87,3,40,23
2015,262,N,5,41,8,2,0,1,1,0,2,0,0,0
2015,262,R,243,1404,6,99,3,90,6,3,96,0,3,0
2015,262,SUM,248,1445,6,101,3,91,7,3,98,0,3,0
2015,270,N,441,3219,7,105,104,1,0,12,93,0,78,26
2015,270,R,2327,19800,9,332,222,105,5,32,300,0,167,56
2015,270,SUM,2768,23018,8,437,326,106,5,44,393,0,244,82
2015,280,N,48,298,6,15,12,3,0,0,15,0,9,3
2015,280,R,146,1197,8,9,6,3,0,0,9,0,6,0
2015,280,SUM,194,1495,8,24,18,6,0,0,24,0,15,3
2015,281,N,171,1368,8,30,12,18,0,0,30,0,12,0
2015,281,R,1243,8725,7,88,70,15,3,15,73,0,47,23
2015,281,SUM,1415,10093,7,117,82,32,3,15,103,0,59,23
2015,282,N,3,15,5,0,0,0,0,0,0,0,0,0
2015,282,R,138,993,7,29,9,18,3,0,29,0,9,0
2015,282,SUM,141,1008,7,29,9,18,3,0,29,0,9,0
2015,283,N,44,305,7,6,3,3,0,0,6,0,3,0
2015,283,R,1081,8301,8,78,44,34,0,3,75,0,35,9
2015,283,SUM,1126,8605,8,84,47,37,0,3,81,0,38,9
2015,284,N,39,244,6,6,6,0,0,6,0,0,3,3
2015,284,R,150,1372,9,22,6,16,0,7,15,0,0,6
2015,284,SUM,189,1616,9,28,12,16,0,13,15,0,3,9
2015,285,N,121,899,7,3,3,0,0,0,3,0,3,0
2015,285,R,1321,11100,8,44,35,9,0,3,42,0,24,12
2015,285,SUM,1442,11999,8,47,38,9,0,3,45,0,27,12
2015,290,N,35,162,5,10,0,10,0,1,9,0,0,0
2015,290,R,239,1431,6,31,4,23,3,10,21,0,1,3
2015,290,SUM,274,1593,6,41,4,33,3,11,30,0,1,3
2015,291,N,89,406,5,22,12,10,0,0,22,0,12,0
2015,291,R,856,5798,7,176,44,124,8,12,164,0,26,18
2015,291,SUM,945,6204,7,197,56,134,8,12,186,0,38,18
2015,292,N,56,398,7,3,0,3,0,0,3,0,0,0
2015,292,R,1522,11244,7,152,73,67,12,6,146,0,56,18
2015,292,SUM,1578,11642,7,155,73,70,12,6,149,0,56,18
2015,293,N,147,998,7,17,12,5,0,3,14,0,9,3
2015,293,R,1489,11647,8,128,73,52,2,29,98,0,61,12
2015,293,SUM,1635,12645,8,145,85,57,2,32,112,0,70,15
2015,298,N,43,188,4,15,2,10,3,0,15,0,0,2
2015,298,R,478,3225,7,122,32,84,6,11,111,0,12,20
2015,298,SUM,520,3413,7,137,34,94,9,11,126,0,12,22
2015,2XX,N,24,126,5,9,9,0,0,0,9,0,6,3
2015,2XX,R,79,367,5,6,3,3,0,0,6,0,0,3
2015,2XX,SUM,103,493,5,15,12,3,0,0,15,0,6,6
2015,300,N,369,2240,6,86,65,20,0,9,77,0,48,18
2015,300,R,1216,6806,6,382,131,239,12,23,359,3,91,38
2015,300,SUM,1585,9046,6,468,197,259,12,32,435,3,138,56
2015,301,N,171,1247,7,20,20,0,0,6,14,0,9,11
2015,301,R,861,6400,7,105,50,47,9,15,91,0,21,29
2015,301,SUM,1032,7647,7,125,70,47,9,21,105,0,29,40
2015,302,N,291,2010,7,91,40,51,0,11,79,0,25,15
2015,302,R,724,4483,6,261,87,153,22,5,256,0,50,37
2015,302,SUM,1015,6493,6,352,127,204,22,16,335,0,74,52
2015,309,N,36,168,5,9,6,3,0,3,6,0,6,0
2015,309,R,195,1258,6,38,18,21,0,3,35,0,6,12
2015,309,SUM,231,1427,6,47,24,24,0,6,41,0,12,12
2015,310,N,222,1450,7,30,30,0,0,14,16,0,12,18
2015,310,R,691,5192,8,113,98,15,0,26,86,0,27,71
2015,310,SUM,913,6642,7,143,128,15,0,40,102,0,39,89
2015,311,N,110,539,5,34,27,7,0,3,31,0,3,24
2015,311,R,1047,6590,6,307,103,185,19,10,296,3,35,65
2015,311,SUM,1157,7129,6,341,130,192,19,13,328,3,38,88
2015,312,N,245,1521,6,70,59,11,0,12,58,0,9,50
2015,312,R,1279,7893,6,376,173,181,23,18,350,0,56,117
2015,312,SUM,1524,9414,6,446,232,191,23,29,409,0,64,168
2015,313,N,470,2884,6,239,236,3,0,5,234,0,105,131
2015,313,R,848,5755,7,270,236,32,2,12,253,0,93,143
2015,313,SUM,1318,8639,7,509,472,35,2,18,487,0,199,274
2015,314,N,324,2271,7,107,80,21,6,21,86,3,18,60
2015,314,R,1012,6823,7,299,133,155,12,20,279,0,49,85
2015,314,SUM,1335,9094,7,407,214,175,18,41,365,3,66,144
2015,315,N,358,2208,6,115,71,38,6,9,106,3,30,38
2015,315,R,1496,8967,6,388,111,254,23,21,365,0,76,35
2015,315,SUM,1854,11175,6,503,182,291,29,30,470,3,106,73
2015,316,N,25,97,4,3,0,3,0,0,3,0,0,0
2015,316,R,69,359,5,6,3,3,0,0,6,0,3,0
2015,316,SUM,94,456,5,9,3,6,0,0,9,0,3,0
2015,317,N,133,839,6,39,36,3,0,6,33,3,18,15
2015,317,R,626,3958,6,163,91,69,3,15,149,0,55,35
2015,317,SUM,760,4797,6,202,126,72,3,20,181,3,73,50
2015,318,N,151,1106,7,17,12,6,0,9,8,3,6,3
2015,318,R,1300,12584,10,232,120,103,10,26,197,0,79,41
2015,318,SUM,1451,13690,9,249,132,108,10,35,205,3,85,44
2015,319,N,174,1453,8,32,21,11,0,0,32,0,18,3
2015,319,R,1255,11057,9,312,201,96,15,28,284,0,146,55
2015,319,SUM,1429,12510,9,343,222,106,15,28,316,0,164,58
2015,320,N,183,1179,6,48,24,21,3,3,45,0,24,0
2015,320,R,765,4833,6,161,60,78,23,9,152,0,35,25
2015,320,SUM,948,6012,6,209,84,98,26,12,197,0,59,25
2015,321,N,265,2111,8,65,39,21,6,27,38,0,12,27
2015,321,R,1200,7823,7,261,53,189,19,32,229,0,35,18
2015,321,SUM,1464,9934,7,326,91,210,25,59,267,0,47,44
2015,322,N,259,1588,6,86,33,48,6,3,83,0,18,15
2015,322,R,771,4002,5,179,45,119,15,12,167,0,26,19
2015,322,SUM,1030,5590,5,265,78,166,21,15,250,0,44,34
2015,323,N,447,3414,8,106,68,36,3,9,97,0,35,33
2015,323,R,1044,5808,6,185,67,114,3,26,158,3,32,32
2015,323,SUM,1491,9222,6,291,135,150,6,35,255,3,67,65
2015,324,N,559,3853,7,187,71,104,12,24,160,0,45,27
2015,324,R,1354,8473,6,387,143,226,18,32,349,0,85,58
2015,324,SUM,1913,12326,6,574,215,330,29,56,509,0,129,85
2015,325,N,477,3216,7,214,113,92,9,3,211,0,68,45
2015,325,R,2072,10847,5,756,247,466,44,10,737,0,159,88
2015,325,SUM,2549,14063,6,970,359,558,53,13,948,0,227,132
2015,326,N,90,565,6,27,15,9,3,6,21,0,9,6
2015,326,R,440,2296,5,146,26,108,12,3,143,0,21,6
2015,326,SUM,530,2861,5,173,41,117,15,9,164,0,29,12
2015,327,N,501,3286,7,187,68,113,6,12,175,0,36,32
2015,327,R,1411,7644,5,462,126,278,58,21,438,0,73,53
2015,327,SUM,1912,10930,6,648,194,390,64,33,613,0,109,85
2015,328,N,165,1218,7,53,24,21,9,15,36,0,12,12
2015,328,R,639,3985,6,210,96,112,2,20,190,0,44,53
2015,328,SUM,804,5203,7,264,120,133,11,35,226,0,56,64
2015,329,N,481,3401,7,139,101,38,0,16,122,3,80,18
2015,329,R,1459,9137,6,476,152,282,43,20,456,3,87,61
2015,329,SUM,1940,12538,7,615,253,319,43,37,578,6,168,79
2015,330,N,379,2365,6,83,39,33,12,6,74,0,27,12
2015,330,R,771,4776,6,143,61,75,8,12,132,0,23,38
2015,330,SUM,1149,7141,6,227,100,107,19,18,206,0,50,50
2015,331,N,287,2011,7,44,33,12,0,6,38,0,24,9
2015,331,R,1371,9985,7,244,140,98,6,26,214,3,88,50
2015,331,SUM,1657,11996,7,288,173,109,6,32,253,3,111,59
2015,332,N,212,1437,7,52,45,7,0,12,40,0,30,15
2015,332,R,907,6407,7,173,88,77,9,20,153,0,61,26
2015,332,SUM,1118,7845,7,225,132,84,9,32,193,0,91,41
2015,333,N,127,844,7,12,9,3,0,3,9,0,6,3
2015,333,R,798,5468,7,114,47,67,0,0,114,0,18,29
2015,333,SUM,925,6312,7,126,56,70,0,3,123,0,23,32
2015,334,N,64,381,6,9,9,0,0,6,3,0,3,6
2015,334,R,535,3291,6,84,35,48,2,15,69,0,23,12
2015,334,SUM,599,3672,6,93,44,48,2,21,72,0,26,18
2015,335,N,113,768,7,9,6,3,0,0,9,3,3,0
2015,335,R,1325,11251,9,212,107,105,0,31,181,0,91,17
2015,335,SUM,1438,12019,8,221,113,108,0,31,190,3,93,17
2015,339,N,58,296,5,9,3,6,0,0,9,0,3,0
2015,339,R,670,5070,8,118,40,70,8,0,118,18,12,11
2015,339,SUM,728,5366,7,127,43,76,8,0,127,18,15,11
2015,340,N,246,1625,7,47,21,26,0,3,44,0,6,15
2015,340,R,2202,17879,8,560,207,335,19,33,524,0,146,61
2015,340,SUM,2448,19504,8,607,228,360,19,36,568,0,152,76
2015,341,N,44,394,9,12,12,0,0,0,12,0,12,0
2015,341,R,661,5064,8,169,88,71,11,12,154,0,50,38
2015,341,SUM,705,5458,8,181,99,71,11,12,166,0,62,38
2015,343,N,99,982,10,15,9,6,0,3,12,0,9,0
2015,343,R,1062,9167,9,153,76,71,6,12,141,0,38,38
2015,343,SUM,1161,10149,9,168,85,78,6,15,154,0,47,38
2015,350,N,103,565,6,11,6,2,3,0,11,0,3,3
2015,350,R,1121,9125,8,194,85,107,3,11,180,0,58,26
2015,350,SUM,1223,9690,8,205,91,109,6,11,191,0,61,29
2015,360,N,606,3800,6,170,131,39,0,15,155,0,53,77
2015,360,R,1702,10441,6,551,253,262,35,24,527,5,137,111
2015,360,SUM,2307,14241,6,721,384,302,35,38,682,5,191,188
2015,361,N,121,792,7,18,6,12,0,3,15,0,0,6
2015,361,R,353,3082,9,42,18,24,0,6,36,0,18,0
2015,361,SUM,474,3874,8,60,24,36,0,9,51,0,18,6
2015,362,N,288,1865,7,78,36,36,3,12,63,0,27,9
2015,362,R,744,5169,7,261,85,158,19,15,244,3,44,38
2015,362,SUM,1032,7033,7,339,120,194,22,26,307,3,71,47
2015,370,N,88,548,6,11,5,6,0,0,11,0,3,2
2015,370,R,802,5987,8,131,78,50,3,0,131,0,47,31
2015,370,SUM,889,6534,7,141,82,56,3,0,141,0,50,33
2015,380,N,197,1298,7,43,31,12,0,6,37,21,3,7
2015,380,R,3739,30488,8,672,311,335,27,60,613,221,8,82
2015,380,SUM,3936,31786,8,716,342,347,27,66,650,241,11,89
2015,388,N,18,168,9,6,6,0,0,3,3,0,0,6
2015,388,R,164,909,6,26,6,18,3,0,26,6,0,0
2015,388,SUM,182,1077,6,32,12,18,3,3,29,6,0,6
2015,390,N,99,483,5,43,42,2,0,12,29,0,21,21
2015,390,R,664,5013,8,266,104,152,10,10,253,0,38,66
2015,390,SUM,763,5496,7,309,146,154,10,21,282,0,59,87
2015,391,N,262,1620,6,110,86,24,0,12,98,0,50,36
2015,391,R,1415,10817,8,387,184,179,24,32,355,0,120,64
2015,391,SUM,1677,12437,7,498,270,204,24,44,454,0,170,100
2015,392,N,225,1568,7,65,48,18,0,11,54,0,27,21
2015,392,R,1743,14532,8,392,120,259,13,31,361,0,79,41
2015,392,SUM,1968,16100,8,457,167,277,13,42,415,0,106,62
2015,393,N,423,2362,6,170,104,63,3,12,155,0,42,62
2015,393,R,2024,12176,6,771,172,543,56,47,718,0,99,73
2015,393,SUM,2446,14538,6,940,276,605,59,59,873,0,141,135
2015,3XX,N,109,720,7,30,21,9,0,3,27,0,9,12
2015,3XX,R,229,962,4,47,23,23,0,0,47,0,9,15
2015,3XX,SUM,338,1682,5,76,44,32,0,3,73,0,18,27
2015,400,N,12,71,6,3,0,3,0,0,3,0,0,0
2015,400,R,93,434,5,12,6,6,0,0,12,0,3,3
2015,400,SUM,104,505,5,15,6,9,0,0,15,0,3,3
2015,401,N,43,202,5,18,7,11,0,7,11,0,0,7
2015,401,R,498,2509,5,151,27,115,9,9,139,3,10,15
2015,401,SUM,541,2711,5,169,34,126,9,15,150,3,10,21
2015,404,N,28,137,5,9,0,6,3,0,9,0,0,0
2015,404,R,204,1261,6,38,12,18,9,0,38,6,6,0
2015,404,SUM,232,1399,6,47,12,23,12,0,47,6,6,0
2015,405,N,6,75,13,6,6,0,0,3,3,0,6,0
2015,405,R,37,393,11,0,0,0,0,0,0,0,0,0
2015,405,SUM,43,468,11,6,6,0,0,3,3,0,6,0
2015,406,N,6,21,4,0,0,0,0,0,0,0,0,0
2015,406,R,39,175,5,3,0,3,0,0,3,0,0,0
2015,406,SUM,45,196,4,3,0,3,0,0,3,0,0,0
2015,410,N,249,1987,8,77,47,31,0,58,20,0,13,34
2015,410,R,1950,13249,7,698,234,445,20,185,511,25,51,158
2015,410,SUM,2199,15237,7,776,281,475,20,242,530,25,64,191
2015,411,N,193,1357,7,52,29,16,8,20,32,0,3,26
2015,411,R,1243,9104,7,284,138,132,15,47,234,11,21,106
2015,411,SUM,1436,10461,7,336,166,147,23,66,267,11,24,131
2015,412,N,90,475,5,20,3,14,3,0,20,0,0,3
2015,412,R,562,3920,7,187,49,123,15,25,156,0,11,36
2015,412,SUM,652,4395,7,207,52,137,18,25,176,0,11,39
2015,413,N,163,1019,6,46,30,13,3,20,27,0,6,24
2015,413,R,940,6236,7,126,55,65,6,18,108,3,26,26
2015,413,SUM,1103,7255,7,172,85,78,9,37,134,3,32,50
2015,415,N,18,69,4,3,3,0,0,0,3,3,0,0
2015,415,R,169,1148,7,26,18,9,0,3,23,6,6,6
2015,415,SUM,187,1217,7,29,21,9,0,3,26,9,6,6
2015,416,N,372,2875,8,83,50,27,6,21,63,3,18,30
2015,416,R,1295,7535,6,210,64,125,20,16,193,9,26,29
2015,416,SUM,1667,10411,6,293,115,152,26,37,256,12,44,59
2015,417,N,77,497,6,29,6,23,0,2,26,0,0,6
2015,417,R,486,3079,6,127,44,71,12,19,107,0,1,43
2015,417,SUM,563,3575,6,155,50,94,12,22,134,0,1,49
2015,418,N,98,639,7,30,21,9,0,6,24,6,6,9
2015,418,R,345,1990,6,45,34,12,0,6,39,6,16,12
2015,418,SUM,443,2630,6,75,54,21,0,12,63,12,22,21
2015,419,N,21,127,6,9,6,3,0,3,6,0,6,0
2015,419,R,126,554,4,20,3,15,3,3,18,0,0,3
2015,419,SUM,147,680,5,29,9,17,3,6,23,0,6,3
2015,420,N,65,480,7,16,8,9,0,3,13,0,3,5
2015,420,R,360,2352,7,70,24,37,9,0,70,4,14,6
2015,420,SUM,425,2832,7,87,32,46,9,3,84,4,17,10
2015,421,N,66,326,5,16,12,4,0,0,16,0,6,6
2015,421,R,353,1558,4,159,70,83,6,3,156,12,41,18
2015,421,SUM,419,1884,5,175,82,87,6,3,172,12,47,23
2015,422,N,91,599,7,30,19,10,0,0,27,0,7,12
2015,422,R,481,3125,7,135,44,83,9,3,133,3,18,23
2015,422,SUM,572,3724,7,165,63,93,9,3,159,3,25,35
2015,423,N,82,492,6,33,24,9,0,6,27,3,12,9
2015,423,R,309,2048,7,97,44,47,6,6,91,0,20,23
2015,423,SUM,391,2540,7,129,68,56,6,12,118,3,32,32
2015,424,N,43,263,6,0,0,0,0,0,0,0,0,0
2015,424,R,313,1950,6,18,12,3,3,3,15,0,9,3
2015,424,SUM,355,2213,6,18,12,3,3,3,15,0,9,3
2015,425,N,73,519,7,17,3,14,0,0,17,0,0,3
2015,425,R,458,2719,6,160,21,125,15,0,160,3,12,6
2015,425,SUM,531,3237,6,177,24,139,15,0,177,3,12,9
2015,426,N,53,333,6,12,4,8,0,0,12,0,2,2
2015,426,R,340,1751,5,98,30,53,15,6,92,0,8,23
2015,426,SUM,393,2083,5,110,34,61,15,6,104,0,10,25
2015,432,N,123,889,7,24,12,12,0,0,24,0,12,0
2015,432,R,909,5520,6,84,58,20,6,9,76,9,18,32
2015,432,SUM,1032,6409,6,108,70,32,6,9,99,9,29,32
2015,441,N,18,87,5,0,0,0,0,0,0,0,0,0
2015,441,R,481,3891,8,100,26,62,12,6,91,0,6,20
2015,441,SUM,499,3978,8,100,26,62,12,6,91,0,6,20
2015,442,N,150,901,6,41,21,17,3,6,35,0,6,15
2015,442,R,861,5564,7,215,75,124,17,9,201,0,38,37
2015,442,SUM,1012,6465,6,256,95,141,20,15,236,0,44,51
2015,444,N,39,267,7,6,3,3,0,0,6,0,0,3
2015,444,R,238,1340,6,26,12,15,0,3,23,0,6,6
2015,444,SUM,277,1608,6,32,15,17,0,3,29,0,6,9
2015,445,N,150,930,6,80,41,34,6,3,77,0,3,38
2015,445,R,789,3953,5,311,85,199,27,26,285,3,34,48
2015,445,SUM,939,4883,5,391,126,233,32,29,362,3,37,86
2015,446,N,499,3136,6,235,136,98,0,38,191,13,36,85
2015,446,R,2190,12276,6,767,123,551,94,29,738,9,53,61
2015,446,SUM,2689,15412,6,1002,259,649,94,67,929,21,88,146
2015,447,N,127,767,6,39,11,21,6,6,32,0,0,11
2015,447,R,914,5337,6,247,65,170,12,28,217,7,3,54
2015,447,SUM,1041,6104,6,285,76,191,18,35,249,7,3,66
2015,448,N,176,1300,7,41,24,18,0,12,30,3,9,12
2015,448,R,890,5662,6,134,52,72,11,9,122,11,29,12
2015,448,SUM,1065,6962,7,176,75,90,11,21,152,14,38,24
2015,449,N,169,1050,6,35,24,11,0,0,35,9,12,3
2015,449,R,751,3840,5,157,47,111,0,9,149,9,26,12
2015,449,SUM,920,4889,5,192,70,122,0,9,184,17,38,15
2015,450,N,33,159,5,6,3,3,0,0,6,0,0,3
2015,450,R,282,1857,7,52,4,48,0,3,50,0,0,4
2015,450,SUM,315,2016,6,58,7,51,0,3,55,0,0,7
2015,452,N,332,1854,6,117,68,43,6,20,97,3,24,42
2015,452,R,927,4495,5,225,67,143,15,9,213,9,29,29
2015,452,SUM,1258,6348,5,342,135,186,20,29,310,12,53,71
2015,454,N,129,919,7,29,17,12,0,8,21,0,9,8
2015,454,R,817,4780,6,126,61,62,3,6,117,20,23,18
2015,454,SUM,945,5699,6,155,78,74,3,14,138,20,32,25
2015,455,N,17,166,10,5,1,4,0,0,5,0,0,1
2015,455,R,260,1806,7,96,32,59,6,5,91,2,5,26
2015,455,SUM,278,1972,7,101,33,62,6,5,96,2,5,27
2015,471,N,9,72,8,0,0,0,0,0,0,0,0,0
2015,471,R,56,364,7,12,3,9,0,0,12,0,0,3
2015,471,SUM,65,437,7,12,3,9,0,0,12,0,0,3
2015,4XX,N,62,367,6,15,15,0,0,3,12,3,6,6
2015,4XX,R,152,740,5,12,6,3,3,0,12,0,6,0
2015,4XX,SUM,214,1107,5,27,21,3,3,3,24,3,12,6
2015,500,N,30,271,9,5,4,1,0,1,4,3,0,1
2015,500,R,414,2646,6,42,19,20,3,9,30,3,6,11
2015,500,SUM,443,2918,7,47,23,21,3,10,34,6,6,12
2015,502,N,25,146,6,6,3,3,0,0,6,0,3,0
2015,502,R,194,1142,6,51,16,32,3,6,43,9,0,8
2015,502,SUM,220,1287,6,57,19,35,3,6,49,9,3,8
2015,510W,N,3,3,1,3,0,3,0,0,3,0,0,0
